brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,os,os_bit,display_size,price,memory,star
HP,Envy,Intel,Core i7,11th,16,DDR4,Windows,64,13.3,104000,512,4.3
MSI,Core,Intel,Core i7,11th,8,DDR4,Windows,64,14,76990,512,4.5
MSI,Modern,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,14,49990,256,4.3
MSI,Core,Intel,Core i3,10th,8,DDR4,Windows,64,14,38990,256,4.4
DELL,Vostro,Intel,Core i5,11th,8,DDR4,Windows,64,14,58990,1280,0
Lenovo,Yoga,AMD,Ryzen 5,Missing,16,LPDDR4X,Windows,64,13.3,74798,512,0
ASUS,ROG,AMD,Ryzen 7,Missing,16,DDR5,Windows,32,15.6,114990,1024,4.6
MSI,Creator,Intel,Core i9,11th,16,DDR4,Windows,64,16,192990,1024,0
SAMSUNG,Galaxy,Qualcomm,Snapdragon 7c,Missing,4,LPDDR4X,Windows,32,Missing,38990,0,0
ASUS,Zenbook,Intel,Core i5,11th,16,LPDDR4X,Windows,64,14,105990,512,4.5
MSI,Prestige,Intel,Core i5,11th,16,LPDDR4X,Windows,64,14,79990,512,4
Lenovo,Core,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,36990,1024,0
ASUS,Vivobook,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,14,58990,512,0
DELL,Vostro,Intel,Core i5,11th,8,DDR4,Windows,64,14,55490,512,0
ASUS,Vivobook,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,14,92990,512,0
Lenovo,Ideapad,Intel,Core i5,11th,16,DDR4,Windows,64,14,69990,512,4.4
HP,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,Windows,32,16.1,68100,512,0
ASUS,Zenbook,Intel,Core i5,11th,8,DDR4,Windows,64,13.3,84990,512,3.7
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,59990,512,4.3
HP,15s,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,39990,1024,4.1
DELL,Inspiron,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,44390,256,4.7
ASUS,Zenbook,Intel,Core i7,10th,16,LPDDR3,Windows,64,14,124990,1024,4.6
Lenovo,Yoga,AMD,Ryzen 5,Missing,16,DDR4,Windows,64,13.3,77990,512,0
DELL,XPS,Intel,Core i5,10th,8,LPDDR4X,Windows,64,13.3,111890,512,4.2
DELL,Inspiron,Intel,Core i7,11th,16,DDR4,Windows,64,15.6,122410,1024,3.8
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,65990,512,3.9
ASUS,Zenbook,Intel,Core i5,11th,8,LPDDR4X,Windows,32,14,72990,512,4
HP,Pavilion,Intel,Core i3,11th,8,DDR4,Windows,64,14,69267,512,4.6
DELL,Inspiron,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,44690,1280,0
DELL,Inspiron,Intel,Core i5,11th,16,DDR4,Windows,64,14,71090,512,0
HP,Spectre,Intel,Core i7,10th,16,DDR4,Windows,64,13.3,179990,1024,0
Lenovo,Ideapad,Intel,Ryzen 7,Missing,16,DDR4,Windows,32,16,81490,512,4.3
MSI,Katana,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,74990,512,4.7
HP,15s,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,15.6,44490,512,0
DELL,Vostro,Intel,Core i3,11th,8,DDR4,Windows,64,14,44427,256,4.3
acer,Swift,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,14,99990,1024,4.1
MSI,Summit,Intel,Core i7,11th,16,DDR4,Windows,64,15.6,154990,1024,4.2
DELL,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,Windows,32,15.6,57900,1024,0
ASUS,Zenbook,Intel,Core i5,10th,8,LPDDR3,Windows,64,13.3,79990,512,0
ASUS,TUF,AMD,Ryzen 7,Missing,8,DDR4,Windows,32,15.6,95990,1024,4.3
Lenovo,Ideapad,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,74590,1280,0
MSI,Modern,Intel,Core i5,11th,8,DDR4,Windows,64,14,55490,512,0
ASUS,Vivobook,Intel,Core i3,10th,8,DDR4,Windows,64,14,35990,256,4
acer,Aspire,Intel,Core i5,8th,8,DDR4,Windows,64,15.6,59999,1024,4.7
Lenovo,Yoga,Intel,Core i7,11th,16,LPDDR4X,Windows,64,13.3,122990,1024,4.4
